sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,errors
SW333,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,"Square White Frame",,,12,1,"Taxable Goods","Catalog, Search",149.99,,,,square-white-frame,"Square White Frame","Square White Frame","Square White Frame ",/s/q/square_white.png,,/s/q/square_white.png,,/s/q/square_white.png,,/s/q/square_white.png,,"8/14/17 8:19 AM","8/14/17 8:19 AM",8/13/17,,"Block after Info Column",,,,"Use config",,,,,,,,,"frame_width=""62""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/s/q/square_white.png,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
SYF3434,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,"Solid Yellow Frame",,,12,1,"Taxable Goods","Catalog, Search",149.99,,,,solid-yellow-frame,"Solid Yellow Frame","Solid Yellow Frame","Solid Yellow Frame ",/1/_/1.0_solid_yellow.png,,/1/_/1.0_solid_yellow.png,,/1/_/1.0_solid_yellow.png,,/1/_/1.0_solid_yellow.png,,"8/14/17 7:41 AM","8/14/17 7:41 AM",8/13/17,,"Block after Info Column",,,,"Use config",,,,,,,,,"frame_width=""43""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.0_solid_yellow.png,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
SO64645,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,"Solid Orange Frame",,,12,1,"Taxable Goods","Catalog, Search",149.99,,,,solid-orange-frame,"Solid Orange Frame","Solid Orange Frame","Solid Orange Frame ",/1/_/1.0_solid_orange.png,,/1/_/1.0_solid_orange.png,,/1/_/1.0_solid_orange.png,,/1/_/1.0_solid_orange.png,,"8/14/17 7:37 AM","8/14/17 7:37 AM",8/13/17,,"Block after Info Column",,,,"Use config",,,,,,,,,"frame_width=""43""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.0_solid_orange.png,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
SG545,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,"Solid Green Frame",,,12,1,"Taxable Goods","Catalog, Search",149.99,,,,solid-green-frame,"Solid Green Frame","Solid Green Frame","Solid Green Frame ",/1/_/1.0_solid_green_1.png,,/1/_/1.0_solid_green_1.png,,/1/_/1.0_solid_green_1.png,,/1/_/1.0_solid_green_1.png,,"8/14/17 7:34 AM","8/14/17 7:34 AM",8/13/17,,"Block after Info Column",,,,"Use config",,,,,,,,,"frame_width=""43""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.0_solid_green_1.png,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
BC5454,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,"Black Concave Frame",,,12,1,"Taxable Goods","Catalog, Search",149.99,,,,black-concave-frame,"Black Concave Frame","Black Concave Frame","Black Concave Frame ",/1/_/1.0_black_concave_1.png,,/1/_/1.0_black_concave_1.png,,/1/_/1.0_black_concave_1.png,,/1/_/1.0_black_concave_1.png,,"8/14/17 6:43 AM","8/14/17 6:43 AM",8/13/17,,"Block after Info Column",,,,"Use config",,,,,,,,,"frame_width=""33""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.0_black_concave_1.png,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
SP444,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,"Solid Pink Frame",,,12,1,"Taxable Goods","Catalog, Search",149.99,,,,solid-pink-frame,"Solid Pink Frame","Solid Pink Frame","Solid Pink Frame ",/1/_/1.0_solid_pink.png,,/1/_/1.0_solid_pink.png,,/1/_/1.0_solid_pink.png,,/1/_/1.0_solid_pink.png,,"8/14/17 6:44 AM","8/14/17 6:44 AM",8/13/17,,"Block after Info Column",,,,"Use config",,,,,,,,,"frame_width=""32""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.0_solid_pink.png,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
BS863,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,"Black Silver Frame",,,12,1,"Taxable Goods","Catalog, Search",149.99,,,,black-silver-frame,"Black Silver Frame","Black Silver Frame","Black Silver Frame ",/1/_/1.5_black_and_silver.png,,/1/_/1.5_black_and_silver.png,,/1/_/1.5_black_and_silver.png,,/1/_/1.5_black_and_silver.png,,"8/14/17 6:47 AM","8/14/17 6:47 AM",8/13/17,,"Block after Info Column",,,,"Use config",,,,,,,,,"frame_width=""44""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.5_black_and_silver.png,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
OG747,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,"Ornate Gold Frame",,,12,1,"Taxable Goods","Catalog, Search",149.99,,,,ornate-gold-frame,"Ornate Gold Frame","Ornate Gold Frame","Ornate Gold Frame ",/1/_/1.5_ornate_gold.png,,/1/_/1.5_ornate_gold.png,,/1/_/1.5_ornate_gold.png,,/1/_/1.5_ornate_gold.png,,"8/14/17 6:49 AM","8/14/17 6:49 AM",8/13/17,,"Block after Info Column",,,,"Use config",,,,,,,,,"frame_width=""42""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.5_ornate_gold.png,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
BIRB23423,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,"Black Inner Raised Blue",,,12,1,"Taxable Goods","Catalog, Search",149.99,,,,black-inner-raised-blue,"Black Inner Raised Blue","Black Inner Raised Blue","Black Inner Raised Blue ",/1/_/1.125_black_inner_raised_blue.png,,/1/_/1.125_black_inner_raised_blue.png,,/1/_/1.125_black_inner_raised_blue.png,,/1/_/1.125_black_inner_raised_blue.png,,"8/14/17 7:09 AM","8/14/17 7:09 AM",8/13/17,,"Block after Info Column",,,,"Use config",,,,,,,,,"frame_width=""40""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.125_black_inner_raised_blue.png,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
BIRG747,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,"Black InnerRaised Gold",,,12,1,"Taxable Goods","Catalog, Search",149.99,,,,black-innerraised-gold,"Black InnerRaised Gold","Black InnerRaised Gold","Black InnerRaised Gold ",/1/_/1.125_black_innerraised_gold.png,,/1/_/1.125_black_innerraised_gold.png,,/1/_/1.125_black_innerraised_gold.png,,/1/_/1.125_black_innerraised_gold.png,,"8/14/17 7:12 AM","8/14/17 7:12 AM",8/13/17,,"Block after Info Column",,,,"Use config",,,,,,,,,"frame_width=""41""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.125_black_innerraised_gold.png,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
BIRR464,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,"Black InnerRaised Red",,,12,1,"Taxable Goods","Catalog, Search",149.99,,,,black-innerraised-red,"Black InnerRaised Red","Black InnerRaised Red","Black InnerRaised Red ",/1/_/1.125_black_innerraised_red.png,,/1/_/1.125_black_innerraised_red.png,,/1/_/1.125_black_innerraised_red.png,,/1/_/1.125_black_innerraised_red.png,,"8/14/17 7:13 AM","8/14/17 7:13 AM",8/13/17,,"Block after Info Column",,,,"Use config",,,,,,,,,"frame_width=""44""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.125_black_innerraised_red.png,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
